 	PERGUNTA	Link Imagem	VALIDADO	RESPOSTA CORRETA	Tipo de Pergunta	KEY	Estado	DATA	ACONTECIMENTO	ÂMBITO	COMENTÁRIO
103	Eduardo Gomes Cardoso (1929-2016), engenheiro,  presidente do Conselho Diretivo		TRUE	O anfiteatro Gomes Cardoso localiza-se:  edifício INDEG	Georeferenciação		Ok	#N/A	#N/A	#N/A	
104	João Ferreira de Almeida (1941-2022), sociólogo, foi especialista em Estratificação Social. Onde fica o auditório Ferreira de Almeida?		TRUE	Auditório B2.03	Georeferenciação		Ok	#N/A	#N/A	#N/A	
105	Juan Mozzicafreddo (1945-2019), sociólogo, foi especialista em Políticas Públicas. Onde se localiza o auditório Juan Mozzicafreddo?		TRUE	Auditório B2.04	Georeferenciação		Ok	#N/A	#N/A	#N/A	
106	Onde fica a Sala de Atos?		TRUE	2S1	Georeferenciação		Ok	#N/A	#N/A	#N/A	
107	Onde fica a Unidade de Investigação BRU-Iscte		TRUE	2W17	Georeferenciação	1992123101	Ok	1992-12-31	Criação do BRU- IUL nesse ano	Iscte	
108	Onde fica a Unidade de Investigação CEI_Iscte?		TRUE	2W6	Georeferenciação	2013080800	Ok	2013-08-08	Criação do Centro de Estudos Internacionais (CEI-IUL), ex-Centro de Estudos Africanos	Iscte	
109	Onde fica a Unidade de Investigação CIES_Iscte?		TRUE	2W08	Georeferenciação	1985061900	Ok	1985-06-19	Criação do Centro de Investigação e Estudos de Sociologia (CIES)	Iscte	
110	Onde fica a Unidade de Investigação DINAMIA'CET_Iscte		TRUE	2W4	Georeferenciação	1989041100	Ok	1989-04-11	Criação do Centro de Estudos sobre a Mudança Socioeconómica (DINAMIA)	Iscte	
111	Onde fica a Unidade de Investigação Istar_Iscte?		TRUE	D0.10	Georeferenciação	2014060500	Ok	2014-06-05	Criação do ISTAR-IUL	Iscte	
112	Onde fica a Unidade de Investigação CRIA_Iscte?		TRUE	2W02	Georeferenciação		Ok	#N/A	#N/A	#N/A	
113	Onde fica a Unidade de Investigação i.t_Iscte		TRUE	D0.06	Georeferenciação		Para alterar	#N/A	#N/A	#N/A	mudar i.t_iscte para IT-Iscte
114	Onde fica a Unidade de Investigação MediaLab_Iscte		TRUE	AA124	Georeferenciação		Ok	#N/A	#N/A	#N/A	
115	Onde fica o Laboratório Audiovisual do CRIA Polo Iscte		TRUE	AA126	Georeferenciação		Ok	#N/A	#N/A	#N/A	
116	Onde fica o laboratório LAPSO?		TRUE	DO.09	Georeferenciação		Ok	#N/A	#N/A	#N/A	
117	Onde fica o laboratório VITRUVIUS Fablab_Iscte?		TRUE	D0.04	Georeferenciação		Ok	#N/A	#N/A	#N/A	
118	Onde fica o Observatório das desigualdades?		TRUE	2W01	Georeferenciação		Ok	#N/A	#N/A	#N/A	
119	Onde fica o Observatório da imigração (OEM)?		TRUE	2W01	Georeferenciação		Ok	#N/A	#N/A	#N/A	
120	Onde fica o laboratório EurWORK European Observatory of Working Life (EWCO)?		TRUE	2W4	Georeferenciação		Ok	#N/A	#N/A	#N/A	
121	Onde fica o Observatório das Famílias e das Políticas de Família (OFAP)?		TRUE	2W4	Georeferenciação		Ok	#N/A	#N/A	#N/A	
122	Onde fica o European Employment Observatory (EEO)?		TRUE	2W4	Georeferenciação		Ok	#N/A	#N/A	#N/A	
123	Onde fica o Observatório Português das Atividades Culturais (OPAC)?		TRUE	2W01	Georeferenciação		Ok	#N/A	#N/A	#N/A	
124	Onde fica o Observatório do Emprego Jovem (OEJ)?		TRUE	2W4	Georeferenciação		Ok	#N/A	#N/A	#N/A	
125	Onde fica o AUDAX?		TRUE	D0.21	Georeferenciação		Ok	#N/A	#N/A	#N/A	
126	Onde fica o Ginásio		TRUE	D0.02	Georeferenciação		Ok	#N/A	#N/A	#N/A	
127	Onde fica a Sala de Estudo?		TRUE	1N15	Georeferenciação		Ok	#N/A	#N/A	#N/A	
128	Onde fica a Associação de Estudantes (AEISCTE-IUL)?		TRUE	0N12	Georeferenciação		Ok	#N/A	#N/A	#N/A	
129	Onde fica a Tuna Académica (TAISCTE)?		TRUE	OE03	Georeferenciação		Ok	#N/A	#N/A	#N/A	
130	Quantos doutoramentos Honoris Causa foram atribuídos pelo Iscte?		TRUE	10	Dimensões		Ok	#N/A	#N/A	#N/A	
131	Quando se fundou o mISCuTEm?		TRUE	2001	Cronologia	2001091700	Ok	2001-09-17	Criação do grupo estudantil de teatro mISCuTEm	Iscte	
132	Qual foi o nível de grandeza orçamento do Iscte em 2020?		TRUE	50M euros	Dimensões		Não Colocar	#N/A	#N/A	#N/A	
133	Que outra designação foi proposta para o Iscte?		TRUE	Universidade Metropolitana	Cronologia	2002123103	Ok	2002-12-31	Negociações para a passagem do Iscte a Universidade Metropolitana (aprovada pelo XIV mas não homologada) neste ano	Iscte	
134	Quando foram promulgadas as medidas da AR sobre praxes académicas?		TRUE	2003	Cronologia	2003042400	Ok	2003-04-24	Medidas de enquadramento das praxes académicas	Nacional	
135	Onde foi desenvolvida a plataforma FénixEDU?		TRUE	Instituto Superior Técnico	Cronologia	2005071800	Ok	2005-07-18	Protocolo com o Instituto Superior Técnico relativo ao Sistema FénixEDU	Iscte	
136	Que cargo desempenhou a professora Isabel Nicolau?		TRUE	Provedora do Estudante	Cronologia	2011032100	Ok	2011-03-21	Isabel Vieira Nicolau, Provedora do Estudante	Iscte	
137	Quantos reitores teve o Iscte?		TRUE	2	Dimensões		Ok	#N/A	#N/A	#N/A	
138	Quantos presidentes teve o Iscte?		TRUE	3	Dimensões		Ok	#N/A	#N/A	#N/A	
139	O que está a ser construído no ex-edifício do IMT?		TRUE	Centro de Valorização e Transferência de Tecnologia (CVTT)	Cronologia	2021020300	Ok	2021-02-03	Início das obras prévias para a construção do CVTT (Centro de Valorização e Transferência de Tecnologias) - primeira empreitada	Iscte	
140	Quando e constitui o INDEG?		TRUE	1988	Cronologia	1988110200	Ok	1988-11-02	Criação do Instituto para o Desenvolvimento da Gestão Empresarial (INDEG)	Iscte	
141	Quando se constituiu o AUDAX		TRUE	2005	Cronologia	2005123100	Ok	2005-12-31	Criação do AUDAX presidido por José Paulo Esperança neste ano	Iscte	
142	Quando se constituiu o Observatório das desigualdades?		TRUE	2008	Cronologia	2008123100	Ok	2008-12-31	Criação do Observatório das Desigualdades neste ano	Nacional	
143	Quando se constituiu o Observatório da Imigração?		TRUE	2008	Cronologia	2008050700	Para alterar	2008-05-07	Criação do Observatório da Emigração	Nacional	nome da pergunta errada, imigração -> Emigração
144	Quando se constituiu o Observatório das famílias e das políticas de família? 		TRUE	2010	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
145	Quando se constituiu o Observatório português das atividades culturais?		TRUE	2018	Cronologia	2018120100	Ok	2018-12-01	Criação do Observatório Português das Atividades Culturais	Nacional	
146	Quando se criou o Criação do Vitruvius FABLAB?		TRUE	2012	Cronologia	2011091000	Ok	2011-09-10	Criação do Vitruvius FABLAB	Iscte	
147	Em que ano ao Iscte passa ao regime fundacional?		TRUE	2009	Cronologia	2008010700	Duvida	2008-01-07	Eleição da Assembleia estatutária, destinada a decidir a passagem para o regime fundacional e a elaborar os novos estatutos no âmbito do Regime Jurídico das Instituições do Ensino Superior, com a presença do ministro Mariano Gago	Iscte	anos não coincidem
148	O repositório institucional do Iscte tem como objetivo preservar, divulgar e dar acesso à sua produção intelectual em formato digital. Em que ano foi lançado?		TRUE	2005	Cronologia	2006103100	Duvida	2006-10-31	Acesso público ao Repositório Institucional do ISCTE neste mês	Iscte	anos não coincidem
